,position,song,artist,popularity,duration_ms,album_type,release_date
6932,33,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,76,172852,single,2023-08-27
6933,34,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6934,35,COCO LOCO,Maluma,73,166734,album,2023-08-25
6935,36,BUBALU,Feid,68,228253,album,2023-09-29
6936,37,PASAJERO,Mora,82,149538,album,2023-08-28
6937,38,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6938,39,Nochentera,Vicco,78,202184,single,2022-12-19
6939,40,GATITA GANGSTER,KAROL G,77,170920,album,2023-08-10
6940,41,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6941,42,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6942,43,Lollipop,Darell,66,199946,album,2023-07-28
6943,44,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
6944,45,BESO,ROSALÍA & Rauw Alejandro,90,194543,single,2023-03-24
6945,46,WANDA,Quevedo,82,160909,album,2023-01-20
6946,47,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,89,198937,single,2022-07-06
6947,48,El Jefe,Shakira & Fuerza Regida,85,170297,single,2023-09-20
6949,50,PUNTO G,Quevedo,84,151324,album,2023-01-20
6950,1,Si No Estás,iñigo quintero,85,184061,single,2022-09-23
6951,2,Buenas,Quevedo & Saiko,84,192954,single,2023-09-22
6952,3,REINA,Mora,89,211879,album,2023-08-28
6953,4,Columbia,Quevedo,96,186000,single,2023-07-07
6954,5,Holanda,Jhayco,92,231693,single,2023-07-28
6955,6,UN PREVIEW,Bad Bunny,89,165582,single,2023-09-25
6956,7,LALA,Myke Towers,97,197920,album,2023-03-23
6957,8,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
6958,9,MODELITO,Mora,82,190496,album,2022-11-03
6959,10,Quien Es Dei V?,Dei V,76,162244,single,2023-03-17
6960,11,LUCES DE TECNO,Feid,78,163786,album,2023-09-29
6961,12,QLONA,KAROL G,92,172797,album,2023-08-10
6962,13,COSAS QUE NO TE DIJE,Saiko,79,224725,single,2021-09-17
6963,14,Lollipop,Darell,68,199946,album,2023-07-28
6964,15,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
6966,17,Antidepresivos,Saiko,78,145384,single,2023-08-03
6967,18,DONDE SE APRENDE A QUERER?,Mora,87,144427,album,2023-08-28
6968,19,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
6969,20,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,2023-05-18
6970,21,El Cielo,Sky Rompiendo & Feid & Myke Towers,88,191320,single,2023-06-02
6972,23,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6973,24,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,87,215600,single,2023-05-12
6974,25,Eva Longoria,Ozuna,80,199850,album,2023-05-26
6975,26,Madrid City,Ana Mena,66,172727,single,2023-09-29
6976,27,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
6977,28,Supernova,Saiko,78,190909,single,2023-04-19
6978,29,FERXXO 151,Feid,70,195320,album,2023-09-29
6979,30,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6980,31,GATITA GANGSTER,KAROL G,77,170920,album,2023-08-10
6981,32,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,77,172852,single,2023-08-27
6982,33,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6983,34,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6984,35,Narcotics (with Bryant Myers),Dei V & Bryant Myers,75,173991,single,2023-09-14
6985,36,PASAJERO,Mora,82,149538,album,2023-08-28
6986,37,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6987,38,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
6988,39,El Mambo,Kiko Rivera,57,129845,single,2023-07-13
6989,40,COCO LOCO,Maluma,73,166734,album,2023-08-25
6990,41,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6991,42,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6992,43,BUBALU,Feid,70,228253,album,2023-09-29
6993,44,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6995,46,BESO,ROSALÍA & Rauw Alejandro,89,194543,single,2023-03-24
6996,47,PUNTO G,Quevedo,84,151324,album,2023-01-20
6997,48,Nochentera,Vicco,77,202184,single,2022-12-19
6998,49,WANDA,Quevedo,82,160909,album,2023-01-20
6999,50,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
7000,1,Si No Estás,iñigo quintero,86,184061,single,2022-09-23
7001,2,Buenas,Quevedo & Saiko,84,192954,single,2023-09-22
7002,3,REINA,Mora,89,211879,album,2023-08-28
7003,4,Columbia,Quevedo,96,186000,single,2023-07-07
7004,5,Holanda,Jhayco,92,231693,single,2023-07-28
7005,6,UN PREVIEW,Bad Bunny,89,165582,single,2023-09-25
7006,7,LALA,Myke Towers,97,197920,album,2023-03-23
7007,8,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
7008,9,MODELITO,Mora,82,190496,album,2022-11-03
7009,10,Quien Es Dei V?,Dei V,76,162244,single,2023-03-17
